"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Kyler Murray (ARI)","21","26","80.8","283","10.9","3","0","1","11","106","1","1","1","37.9","37.9","97.3%"
"2","Josh Allen (BUF)","31","38","81.6","415","10.9","3","0","7","7","14","1","0","1","36.0","36.0","99.9%"
"3","Patrick Mahomes II (KC)","30","45","66.7","372","8.3","4","0","2","1","6","0","0","1","31.5","31.5","99.9%"
"4","Drew Lock (SEA)","25","48","52.1","313","6.5","2","1","1","7","47","1","0","1","30.2","30.2","3.4%"
"5","Aaron Rodgers (GB)","25","31","80.6","305","9.8","4","0","1","1","7","0","0","1","28.9","28.9","94.6%"
"6","Teddy Bridgewater (MIA)","36","49","73.5","310","6.3","2","0","2","2","19","1","0","1","28.3","28.3","1.9%"
"7","Ben Roethlisberger (FA)","29","42","69.0","306","7.3","3","0","0","1","8","0","0","1","25.0","25.0","13.6%"
"8","Cam Newton (FA)","27","35","77.1","274","7.8","0","0","0","10","16","2","0","1","24.6","24.6","9.3%"
"9","Deshaun Watson (CLE)","19","32","59.4","281","8.8","2","0","2","10","50","0","0","1","24.2","24.2","71.2%"
"10","Russell Wilson (DEN)","28","41","68.3","390","9.5","2","2","5","2","5","1","2","1","24.1","24.1","94.6%"
"11","Justin Herbert (LAC)","28","42","66.7","326","7.8","2","0","2","5","24","0","0","1","23.4","23.4","99.8%"
"12","Matt Ryan (IND)","25","35","71.4","284","8.1","3","1","2","3","10","0","0","1","23.4","23.4","42.8%"
"13","Drew Brees (FA)","26","32","81.3","222","6.9","4","0","1","2","-2","0","1","1","22.7","22.7","35.7%"
"14","Jake Luton (JAC)","26","38","68.4","304","8.0","1","1","2","1","13","1","0","1","22.5","22.5","0.0%"
"15","Nick Foles (IND)","36","52","69.2","335","6.4","2","0","3","2","2","0","0","1","21.6","21.6","0.2%"
"16","Joe Flacco (NYJ)","18","25","72.0","262","10.5","3","1","1","0","0","0","0","1","21.5","21.5","0.1%"
"17","Tua Tagovailoa (MIA)","20","28","71.4","248","8.9","2","0","3","7","35","0","0","1","21.4","21.4","63.6%"
"18","Kirk Cousins (MIN)","13","20","65.0","220","11.0","3","0","1","0","0","0","0","1","20.8","20.8","74.4%"
"19","Lamar Jackson (BAL)","19","23","82.6","170","7.4","0","0","2","13","58","1","0","1","18.6","18.6","98.9%"
"20","Garrett Gilbert (FA)","21","38","55.3","243","6.4","1","1","2","3","28","0","0","1","15.5","15.5","0.0%"
"21","Ryan Tannehill (TEN)","10","21","47.6","158","7.5","2","0","3","3","3","0","0","1","14.6","14.6","26.2%"
"22","Derek Carr (LV)","13","23","56.5","165","7.2","2","0","1","2","14","0","1","1","14.0","14.0","89.4%"
"23","Alex Smith (FA)","24","32","75.0","325","10.2","1","3","2","0","0","0","0","1","14.0","14.0","5.0%"
"24","Daniel Jones (NYG)","23","34","67.6","212","6.2","1","0","5","6","4","0","0","1","12.9","12.9","19.4%"
"25","Nick Mullens (LV)","22","35","62.9","291","8.3","1","1","1","1","0","0","1","1","12.6","12.6","0.1%"
"26","Matthew Stafford (LAR)","23","32","71.9","211","6.6","1","2","2","0","0","0","0","1","10.4","10.4","93.9%"
"27","Taysom Hill (NO)","2","2","100.0","48","24.0","0","0","0","7","54","0","0","1","9.9","9.9","2.4%"
"28","Philip Rivers (FA)","25","43","58.1","227","5.3","0","1","0","0","0","0","0","1","8.1","8.1","20.6%"
"29","Chase Daniel (LAC)","8","13","61.5","94","7.2","1","1","0","1","5","0","0","1","7.3","7.3","0.1%"
"30","Tom Brady (TB)","22","38","57.9","209","5.5","0","3","3","0","0","0","0","1","5.4","5.4","97.1%"
"31","Kyle Allen (HOU)","5","7","71.4","62","8.9","0","0","0","0","0","0","0","1","2.5","2.5","0.1%"
"32","John Lovett (MIA)","0","0","0","0","0","0","0","0","3","6","0","0","1","0.6","0.6","0.0%"
"33","Jameis Winston (NO)","1","1","100.0","12","12.0","0","0","0","3","-3","0","0","1","0.2","0.2","33.6%"
"34","Mason Rudolph (PIT)","2","3","66.7","3","1.0","0","0","0","0","0","0","0","1","0.1","0.1","0.2%"
"35","Stone Smartt (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"36","Desmond Ridder (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"37","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"38","Trey Lance (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88.9%"
"39","Mac Jones (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.1%"
"40","Ian Book (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"41","Jack Coan (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Reid Sinnett (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","David Blough (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Joe Burrow (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.3%"
"45","Jacob Eason (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
