"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Herbert (LAC)","27","43","62.8","347","8.1","3","0","1","9","66","1","0","1","38.5","38.5","99.8%"
"2","Kyler Murray (ARI)","34","48","70.8","360","7.5","3","1","0","14","67","1","0","1","38.1","38.1","97.3%"
"3","Tom Brady (TB)","33","45","73.3","369","8.2","4","0","0","1","1","1","0","1","36.9","36.9","97.1%"
"4","Joe Burrow (CIN)","35","47","74.5","406","8.6","3","1","4","6","34","1","1","1","34.6","34.6","96.3%"
"5","Russell Wilson (DEN)","33","50","66.0","388","7.8","3","3","2","6","84","0","0","1","32.9","32.9","94.6%"
"6","Baker Mayfield (CAR)","22","28","78.6","297","10.6","5","1","0","1","-1","0","0","1","30.8","30.8","7.4%"
"7","Carson Wentz (WAS)","25","43","58.1","359","8.3","2","1","3","7","14","1","0","1","28.8","28.8","15.6%"
"8","Aaron Rodgers (GB)","23","34","67.6","283","8.3","4","0","0","0","0","0","0","1","27.3","27.3","94.6%"
"9","Deshaun Watson (CLE)","29","39","74.4","309","7.9","2","0","3","7","38","0","0","1","24.2","24.2","71.2%"
"10","Drew Brees (FA)","29","36","80.6","287","8.0","2","0","1","3","2","1","1","1","23.7","23.7","35.7%"
"11","Daniel Jones (NYG)","20","30","66.7","187","6.2","2","1","3","4","92","0","1","1","21.7","21.7","19.4%"
"12","Derek Carr (LV)","24","36","66.7","284","7.9","2","1","3","2","19","0","0","1","20.3","20.3","89.4%"
"13","Teddy Bridgewater (MIA)","23","28","82.1","254","9.1","2","0","1","2","10","0","0","1","19.2","19.2","1.9%"
"14","Gardner Minshew II (PHI)","14","27","51.9","173","6.4","2","0","5","4","21","0","0","1","19.0","19.0","0.8%"
"15","Matthew Stafford (LAR)","25","36","69.4","340","9.4","1","0","2","1","8","0","0","1","18.4","18.4","93.9%"
"16","Matt Ryan (IND)","31","42","73.8","338","8.0","1","0","2","0","0","0","1","1","17.5","17.5","42.8%"
"17","Ryan Tannehill (TEN)","18","30","60.0","220","7.3","2","0","2","2","5","0","0","1","17.3","17.3","26.2%"
"18","Kyle Allen (HOU)","15","25","60.0","194","7.8","2","0","2","4","11","0","0","1","16.9","16.9","0.1%"
"19","Jared Goff (DET)","23","33","69.7","220","6.7","2","0","1","4","1","0","0","1","16.9","16.9","16.4%"
"20","Josh Allen (BUF)","30","43","69.8","307","7.1","0","0","2","11","61","0","1","1","16.4","16.4","99.9%"
"21","Ben Roethlisberger (FA)","32","49","65.3","268","5.5","2","3","0","1","-1","0","0","1","15.6","15.6","13.6%"
"22","Drew Lock (SEA)","24","40","60.0","254","6.4","0","2","3","3","8","1","0","1","15.0","15.0","3.4%"
"23","Patrick Mahomes II (KC)","15","23","65.2","200","8.7","1","0","3","0","0","0","0","1","12.0","12.0","99.9%"
"24","Jimmy Garoppolo (SF)","20","25","80.0","277","11.1","0","2","1","1","4","0","0","1","9.5","9.5","4.8%"
"25","Nick Foles (IND)","28","40","70.0","261","6.5","0","2","4","0","0","0","0","1","8.4","8.4","0.2%"
"26","Chad Henne (KC)","2","2","100.0","13","6.5","0","0","1","4","-2","1","0","1","6.3","6.3","0.1%"
"27","Andy Dalton (NO)","9","19","47.4","75","3.9","0","1","3","3","16","0","0","1","3.6","3.6","0.7%"
"28","Cam Newton (FA)","9","15","60.0","98","6.5","0","3","1","5","19","0","0","1","2.8","2.8","9.3%"
"29","Sam Darnold (CAR)","12","23","52.2","120","5.2","0","2","6","0","0","0","0","1","2.8","2.8","3.7%"
"30","Jarrett Stidham (LV)","6","10","60.0","64","6.4","0","1","1","2","3","0","0","1","1.9","1.9","0.1%"
"31","Ben DiNucci (DAL)","2","3","66.7","39","13.0","0","0","3","1","0","0","0","1","1.6","1.6","0.1%"
"32","Taysom Hill (NO)","1","1","100.0","0","0.0","0","0","0","1","6","0","0","1","0.6","0.6","2.4%"
"33","Jalen Hurts (PHI)","0","0","0","0","0","0","0","0","2","2","0","0","1","0.2","0.2","96.3%"
"34","Desmond Ridder (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"35","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"36","Ian Book (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"37","Trey Lance (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88.9%"
"38","Mac Jones (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.1%"
"39","Jarrett Guarantano (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","David Blough (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Tua Tagovailoa (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.6%"
"42","Jacob Eason (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"43","John Lovett (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"44","Tyler Huntley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"45","Will Grier (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Brett Rypien (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"47","Easton Stick (LAC)","1","1","100.0","4","4.0","0","0","0","1","-2","0","0","1","0.0","0.0","0.0%"
"48","Trace McSorley (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"49","Jake Browning (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Jordan Love (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"51","Jack Coan (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Brock Purdy (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"53","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"54","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"55","Trevor Lawrence (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52.0%"
