"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Russell Wilson (DEN)","29","43","67.4","378","8.8","5","0","3","1","21","0","0","1","39.2","39.2","94.6%"
"2","Jimmy Garoppolo (SF)","28","37","75.7","317","8.6","4","0","1","3","2","0","0","1","28.9","28.9","4.8%"
"3","Lamar Jackson (BAL)","17","23","73.9","163","7.1","1","0","1","16","61","2","0","1","28.6","28.6","98.9%"
"4","Matthew Stafford (LAR)","26","41","63.4","406","9.9","3","1","2","3","6","0","1","1","25.8","25.8","93.8%"
"5","Ryan Tannehill (TEN)","27","39","69.2","331","8.5","1","2","4","4","38","1","0","1","25.0","25.0","26.3%"
"6","Ryan Fitzpatrick (FA)","24","36","66.7","288","8.0","3","0","4","5","2","0","0","1","23.7","23.7","0.1%"
"7","Kyler Murray (ARI)","17","24","70.8","241","10.0","2","0","3","5","34","0","0","1","23.0","23.0","97.2%"
"8","Dak Prescott (DAL)","22","35","62.9","257","7.3","3","1","0","3","12","0","0","1","22.5","22.5","95.2%"
"9","Kirk Cousins (MIN)","19","38","50.0","220","5.8","3","0","1","1","5","0","0","1","21.3","21.3","73.7%"
"10","Jameis Winston (NO)","29","44","65.9","335","7.6","2","0","2","2","8","0","1","1","20.2","20.2","33.6%"
"11","Deshaun Watson (CLE)","22","28","78.6","201","7.2","2","0","1","7","37","0","0","1","19.7","19.7","73.5%"
"12","Derek Carr (LV)","20","31","64.5","289","9.3","2","0","1","0","0","0","0","1","19.6","19.6","89.8%"
"13","Josh Allen (BUF)","14","20","70.0","160","8.0","1","0","2","8","12","1","0","1","17.6","17.6","99.9%"
"14","Baker Mayfield (CLE)","27","42","64.3","273","6.5","1","0","2","3","22","0","0","1","17.1","17.1","6.0%"
"15","Brandon Allen (CIN)","12","20","60.0","193","9.7","2","0","3","5","13","0","0","1","17.0","17.0","0.2%"
"16","Brian Hoyer (NE)","17","26","65.4","168","6.5","3","1","4","1","6","0","1","1","16.3","16.3","0.1%"
"17","Kyle Allen (HOU)","17","32","53.1","232","7.3","2","1","3","3","-4","0","0","1","15.9","15.9","0.1%"
"18","Carson Wentz (WAS)","26","39","66.7","239","6.1","1","0","4","4","15","0","0","1","15.1","15.1","15.6%"
"19","Matt Moore (FA)","25","35","71.4","275","7.9","1","0","5","0","0","0","0","1","15.0","15.0","0.0%"
"20","Tom Brady (TB)","30","46","65.2","285","6.2","1","1","2","0","0","0","0","1","14.4","14.4","97.1%"
"21","Sam Darnold (CAR)","27","39","69.2","260","6.7","1","1","3","2","1","0","0","1","13.5","13.5","3.7%"
"22","Aaron Rodgers (GB)","23","35","65.7","161","4.6","1","0","3","1","5","0","0","1","12.9","12.9","94.5%"
"23","Daniel Jones (NYG)","26","41","63.4","210","5.1","1","1","5","6","54","0","2","1","12.8","12.8","19.4%"
"24","Philip Rivers (FA)","21","28","75.0","294","10.5","0","0","2","3","0","0","0","1","11.8","11.8","20.6%"
"25","Mason Rudolph (PIT)","26","35","74.3","191","5.5","1","1","1","3","5","0","0","1","11.1","11.1","0.2%"
