"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Drew Brees (FA)","29","40","72.5","349","8.7","5","0","0","1","1","1","0","1","40.1","40.1","35.7%"
"2","Jameis Winston (NO)","33","45","73.3","456","10.1","4","3","1","6","5","1","0","1","37.7","37.7","33.6%"
"3","Mitchell Trubisky (PIT)","23","31","74.2","244","7.9","3","1","2","10","63","1","0","1","33.1","33.1","5.2%"
"4","Deshaun Watson (CLE)","28","50","56.0","292","5.8","1","2","3","6","44","2","0","1","30.1","30.1","73.5%"
"5","Jimmy Garoppolo (SF)","26","35","74.3","349","10.0","4","1","3","2","1","0","0","1","29.1","29.1","4.8%"
"6","Ryan Tannehill (TEN)","21","27","77.8","391","14.5","3","1","0","4","19","0","0","1","28.5","28.5","26.3%"
"7","Drew Lock (SEA)","22","27","81.5","309","11.4","3","1","1","3","15","0","0","1","24.9","24.9","3.4%"
"8","Philip Rivers (FA)","16","22","72.7","314","14.3","3","0","1","1","0","0","0","1","24.6","24.6","20.6%"
"9","Jacoby Brissett (CLE)","19","36","52.8","251","7.0","2","0","1","4","26","0","0","1","22.6","22.6","2.5%"
"10","Matt Ryan (IND)","20","34","58.8","313","9.2","2","0","1","1","8","0","0","1","21.3","21.3","43.3%"
"11","Lamar Jackson (BAL)","16","25","64.0","145","5.8","3","1","1","11","40","0","0","1","20.8","20.8","98.9%"
"12","Derek Carr (LV)","25","34","73.5","262","7.7","2","0","2","2","17","0","0","1","20.2","20.2","89.8%"
"13","Kyle Allen (HOU)","28","41","68.3","293","7.1","1","2","5","6","24","1","1","1","20.1","20.1","0.1%"
"14","Carson Wentz (WAS)","33","50","66.0","325","6.5","2","0","3","5","9","0","1","1","19.9","19.9","15.6%"
"15","Sam Darnold (CAR)","20","36","55.6","270","7.5","2","1","1","3","3","0","0","1","18.1","18.1","3.7%"
"16","Jared Goff (DET)","22","31","71.0","293","9.5","2","2","0","2","4","0","0","1","18.1","18.1","16.4%"
"17","Dak Prescott (DAL)","27","49","55.1","334","6.8","1","0","2","3","1","0","0","1","17.5","17.5","95.2%"
"18","Eli Manning (FA)","15","30","50.0","203","6.8","2","0","2","2","-1","0","0","1","16.0","16.0","2.3%"
"19","Ryan Fitzpatrick (FA)","21","37","56.8","245","6.6","0","1","2","7","65","0","0","1","15.3","15.3","0.1%"
"20","Patrick Mahomes II (KC)","26","40","65.0","283","7.1","1","1","1","6","6","0","0","1","14.9","14.9","99.9%"
"21","Kirk Cousins (MIN)","24","30","80.0","242","8.1","1","0","1","1","-1","0","0","1","13.6","13.6","73.7%"
"22","Gardner Minshew II (PHI)","24","37","64.9","162","4.4","1","0","2","6","31","0","0","1","13.6","13.6","0.8%"
"23","Devlin Hodges (FA)","16","19","84.2","152","8.0","1","0","3","5","34","0","0","1","13.5","13.5","0.0%"
"24","Baker Mayfield (CLE)","11","24","45.8","192","8.0","0","2","1","2","13","1","0","1","13.0","13.0","6.0%"
"25","Kyler Murray (ARI)","20","30","66.7","194","6.5","2","3","5","6","2","0","0","1","13.0","13.0","97.2%"
"26","Tom Brady (TB)","19","36","52.8","169","4.7","1","1","3","2","20","0","0","1","11.8","11.8","97.1%"
"27","Russell Wilson (DEN)","22","36","61.1","245","6.8","0","1","5","5","28","0","0","1","11.6","11.6","94.6%"
"28","Aaron Rodgers (GB)","18","28","64.3","195","7.0","1","0","4","5","16","0","1","1","11.4","11.4","94.5%"
"29","Josh Allen (BUF)","17","39","43.6","146","3.7","1","0","6","2","9","0","1","1","10.7","10.7","99.9%"
"30","Andy Dalton (NO)","22","38","57.9","262","6.9","0","1","2","3","11","0","0","1","10.6","10.6","0.7%"
"31","David Blough (DET)","24","40","60.0","205","5.1","1","2","5","0","0","0","0","1","10.2","10.2","0.0%"
"32","Dwayne Haskins (FA)","16","27","59.3","170","6.3","1","1","4","1","-1","0","0","1","9.7","9.7","0.1%"
"33","Tyrod Taylor (NYG)","3","5","60.0","26","5.2","1","0","0","4","10","0","0","1","6.0","6.0","0.7%"
"34","Taysom Hill (NO)","0","1","0.0","0","0.0","0","0","0","5","13","0","0","1","3.0","3.0","2.4%"
"35","Ryan Griffin (TB)","2","4","50.0","18","4.5","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"36","Ian Book (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"37","Mac Jones (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.2%"
"38","Jack Coan (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Desmond Ridder (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"40","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"41","Trey Lance (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88.8%"
"42","Stone Smartt (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Jared Bernhardt (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Reid Sinnett (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Jarrett Guarantano (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Joe Burrow (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.3%"
"47","Tua Tagovailoa (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.2%"
